title,subject
Room on the Broom,"Animals,Juvenile fiction,Dragons,Stories in rhyme,Animals in fiction,Dragons in fiction,Witches,Fiction,Witches in fiction,Children's fiction,Witches, fiction,Animals, fiction,Dragons, fiction,Sound, fiction,Board books,Halloween, fiction,Toy and movable books,Picture books,Child and youth fiction,Fantasy & Magic,Holidays & Celebrations,Halloween,Humorous Stories,Accessible book,Protected DAISY"
The selfish giant,"Giants,Giants, fiction,Gardens, fiction,Picture books,Juvenile fiction,Fiction,Accessible book,Fairy tales,Protected DAISY,Children's fiction"
A Bell for Ursli,"Picture books,Accessible book,Poetry,Translations of Rhaeto-Romance/Romansh texts,Protected DAISY,Children"
Green Eggs and Ham,"1960-1988,Dr. Seuss,Beginner Books,I Can Read It All By Myself,Green Eggs and Ham,Audio-Cassette included,First time readers,English,2-3 years,Pre-school,Children's,Stories,Books,In rhymes,Rhyming,Fiction,Juvenile Fiction,Picture books,Food,Eggs,Ham,Food habits,Open Library Staff Picks,Nonsense verses,Specimens,Children's fiction,Humorous stories,Stories in rhyme,Food, fiction,Large type books,Latin language,Readers,Latin language materials,Food preferences,Children's stories,Juvenile poetry,Vocabulary,Classics,Reader,Beginner,Accessible book,Protected DAISY"
Frog and Toad Together,"JUVENILE FICTION,Emotions & Feelings,animals,frogs & toads,Social Themes,Friendship,Children's stories,Frogs,Toads,Fiction,Children's fiction,Frogs, fiction,Picture books,Newbery Honor,Accessible book,Protected DAISY"
The Snail and the Whale,"Fiction,Stories in rhyme,Whales,Snails in fiction,Snails,Whales in fiction,Juvenile fiction,Snails, fiction,Whales, fiction,Children's fiction,Picture books,Scottish Gaelic language,Readers,Accessible book,Protected DAISY"
Make Way for Ducklings,"Oversize books,Picture books,Accessible book,Fiction,ducklings,3.1.,Specimens,Accelerated Reader,Japanese language books,Caldecott Medal,Boston (mass.), fiction,Picture books for children,Caldecott medal book,Animals,Braille,Protected DAISY,illustration,Ducks, Geese,Books and reading,Children's stories,Classics,Children's fiction,Blind,Family,Juvenile fiction,Ducks, fiction,Ducks,Big books,kid's books,Caldecott Medal books,Accelerated Reader - 3.1."
Splash and Bubbles,"Marine animals, fiction,Fishes, fiction,Individuality, fiction,Children's fiction,Picture books"
The Gruffalo's Child,"Fiction,Stories in rhyme,Mice,Animals,Curiosity,Juvenile fiction,Children's stories,Monsters,Pictorial works,Moed,Children's picture book,Children's fiction,Mice, fiction,Animals, fiction,Toy and movable books,Picture books,Child and youth fiction,Board books,Ipuinak-,Cuentos-,Miedo-,Haur eta gazteentzako liburuak,Libros infantiles,Beldurra-,Ficción juvenil,Ratones,Curiocidad,Spanish language materials,Accessible book,Protected DAISY"
Frederick,"Mice in fiction,Sharing,Families,Winter,Accelerated Reader 3.5.,Juvenile fiction,Fiction,Imagination,Accessible book,Fairy tales,Fiction, general,Children's stories,Protected DAISY,Mice,Children's fiction,Picture books"
